Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Summary,Text,Sentiment,Timestamp
314489,B002ESS8D2,A1OEXWHUQF99VX,David L. Symonds,1,1,5,Same as Starbucks.,"I can't tell the difference from Starbucks french roast. My wife likes it too and she's a little high-maintenance in the coffee department, although she puts so much cream in it I don't know how she can tell. Good price and fast delivery with Subscribe and Save.<br />Update 9-19-2012: Change to Subscribe and Save makes this option less convenient. Now you need to wait until your monthly shipping date to get delivery or else pay shipping and lose your discount if you want it sooner.",positive,2011-11-13
529063,B0001IOSFO,A5BO32GTOJDOE,"Nick M. ""nicklesm17""",2,2,5,noh's SPICY chicken,"love this stuff. it has a great sweet spicy flavor. goes freat on fish too.<br />just make sure when ordering or price comparing, that you get the right packets. noh makes another chicken seasoning packet as well, and their pictures look similar. the other blend is typically cheaper (price-wise) than this. so don't hurry up and run your order thru when you think you found a less expensive merchant. read the writing on these packets and make sure you got the SPICY.<br />and yes it does have a spicy kick to it. i usually don't add any hot peppers to the meal if using this coating.",positive,2011-08-29
478028,B004IGVP0Q,A1FAD8OIW1KKVD,"Adrienne M. ""aam914""",0,0,3,Not what I expected...,"This stuff smells like sulfur. I guess when I saw ""smoked apple wood"" I was expecting something different. There is probably an awesome recipe that this will go good with, but I haven't discovered it yet. I used it on roasted asparagus. I think I would have liked it better with regular sea salt. It's not the salt's fault that I can't figure out what to do with it. LOL!",positive,2012-04-30
559728,B001E8DHPW,AEJBRX0ZGP5WC,Dale Weatherwax,0,0,5,Good price top quality,"We use coconut oil instead of butter and shortening for baking and on the table.<br />This is one of the best for texture and taste.<br />The price is very good, and the delivery fast.",positive,2009-02-06
165279,B004725D5O,A6KWQKOHSFYQC,M. Pearce,2,2,2,"Not the best, by far not the worst.","After great experiences with Ancient Harvest Quinoa pastas I decided to try another brand of quinoa based pastas...while it's not as bad as some of the rice based pastas, it's not that great. Edible at best. A test bite from the boiling water at less than 5 minutes yielded something kind of mushy on the outside and firm on the outside. I decided to drain. After letting the 'pasta' rest for a few minutes it gained a better texture, not too pasta-like, but edible. The taste? Kind of bitter. Best to mask this with some garlicy sauce.",positive,2011-08-09
520238,B001EQ5IAG,A1SO1PGDNVMLXC,kalyson,49,49,5,"Great product!  From corn, not birch","If you do some research on natural sweeteners with a zero glycemic index, you will see that Erythritol is one of the best. It is a sugar alcohol found in various fruits and vegetables like Xylitol. But unlike Xylitol, it is not dangerously toxic to dogs and does not have bloating, gaseous effects. If you don't need a sweetener without blood sugar effects, you can look at brown rice syrup or agave, since they have a very low effect on blood sugar. If you want no blood sugar effects at all, I'd recommend this, since it has a very nice taste (like sugar) with no aftertaste. Stevia is another option, but is very strong and has a less appealing taste. If you use even a bit too much, Stevia generally has a rather bitter aftertaste. This is not true of Erythritol.<br /><br />I would say the only downside is the cost and that it is only 70% as sweet as sugar. You can spike it with Stevia to make up the difference if you like Stevia. It doesn't take much to add to get it a lot sweeter. You should shake it up really well before using, though.<br /><br />Note: If you want to buy this particular item, I discovered that this company has not charged me extra shipping for more bags going to the same address. I would avoid EmeraldForest, though, because the Erythritol I got from them had a very strange, foul smell -- like mothballs -- and had a faint aftertaste that was the same. Their customer service was very nasty when I called to return it.  I am sticking with Now Foods from now on.",positive,2010-01-26
324045,B005E230UG,A2BTDT4S1E9L9W,jack,10,10,5,"A+, Better than expected!",Received order faster than the prediction on Amazon. Very tasty almonds too... Way better than anything you will find at the store. I think I have found my favorite almond supplier! Thanks!,positive,2011-08-19
385692,B000EPR1KI,AUFO5GFCYNRD5,Kevin Harper,1,3,1,disappointing taste,"I like the fact that the Mi-Del cookies are low-fat and use some organic ingredients.  I love the Mi-Del lemon and vanilla flavors, and their ginger snaps are ok -- BUT these chocolate snaps are no good.  I'm a chocolate lover, so this is rather disappointing.  The taste is similar to the ginger snap, but it's off quite a bit - slightly bitter.  It's as if they didn't put enough sugar in these snaps to counter the bitterness of cocoa powder. It also has a poor aftertaste that's slightly bitter (the lemon snap aftertaste is awesome keeps me wanting more).<br /><br />Gotta give it 1 star - yeah, I ate 10 of these to give them a chance, but I threw away the rest of the bag. The crunch and texture is the same as the other Mi-Del Snaps, but the flavor is off.  Not Recommended.",neutral,2008-02-20
543843,B006MONQMC,A105S56ODHGJEK,"Peace Daddy ""Eclectic ReflectionZ""",0,1,3,Just OK.,"We use a lot of water additives in our house, the main ones being Crystal Light and Mio. I was hoping this Vitamin Squeeze fruit punch would be a tasty change of pace, since it also has added vitamins. It's decent, but not as good as I was hoping. I tried it with differing amounts in a few separate bottles of water, and found that in order to taste good I need three small squeezes per bottle. My wife was the same when she tried it, and we both decided that it still tastes vaguely like watered down Hawaiian Punch. Not terrible, but not really tasty and certainly not as good as the Crystal Light packets we use most often, although the trade off with the added vitamins may be worth it.",positive,2012-06-16
113114,B0044MTGHI,A1PWG0SYFP4SNS,Amanda,5,5,5,It's all about the hair...,"I'm a bi-racial woman with fine naturally curly hair and I've been looking for something that would moisturize without weighing my hair down, so I took to the web and did some research.  COCONUT (my favorite smell) OIL kept coming up, so I thought I'd give it a try.  I've used Olive Oil and found it to be too heavy and it really doesn't smell that great in my opinion.  The day I got the Coconut Oil I put a few tablespoons in a dish, warmed it in the microwave (which I've now found out you shouldn't do, stovetop warming is better) I parted my hair in sections and then brushed the oil in my hair with a hair dye brush, wrapped my head in plastic wrap (attractive right) and let it sit for a couple of hours while I did housework.  When I washed out the oil it only took one shampooing, which surprised me (olive oil always took two) I conditioned and then dried my hair with a blow dryer and smoothed it out with my in-styler and let me tell you my hair was so smooth and silky and shiny! I was amazed! Now mind you my hair isn't in bad condition, not dry or frizzy, I do color it dark brown because I have to cover those grays.  I used to get some poof in the crown area, but after the coconut oil there is none.  I use it once a week and I've noticed that my hair is fuller as well, very happy with the product and the results! I have 3 daughters with very thick curly hair and I use it for them as well.  The oil can also be used on skin and it's not greasy at all.",positive,2012-04-04
254047,B0037TIDCI,A3E2ZBE6O6W4JB,Penelope J. Parisi,0,0,5,Great purchase!,"I am an Avon lady and the only bags they offer are too big! A lipstick in a bag this size would be lost!  So I decided to look for nice smaller white bags and these fit the bill perfectly! Although you have to buy in bulk, they stack nicely!",positive,2012-06-28
427036,B001E95KP6,A2EB1IIJ50X3WR,Nittlenny,1,2,5,You Can See and Taste the Difference!,"Do you know what's inside your tea bag? Brands of tea that you buy in a supermarket usually have tea bags that you can't see through. Cut one open- what you'll find are crushed and powdered tea leaves that are meant to brew your cup of tea quickly- normally 15 to 30 seconds.<br /><br />If you buy loose tea you'll be getting whole tea leaves- leaves that take longer to ""open"" and brew, but which normally produce a tea that is a better quality and which tastes better.<br /><br />Might Leaf tea bags come individually sealed in see-through cellophane packets. The tea bags themselves are made of see-through thin woven silk, and inside are tea leaves that are a lot closer to loose tea than anything else you've seen in a bag. You have the convenience of a tea bag with the quality (almost!) of loose tea. If you're not ready for loose tea yet, try Mighty Leaf teas. Yes, they cost more than usual tea bags, but you'll be very pleased with the tea they make. If you like white tea, their White Orchard tea gives you an aromatic, mild, flavorful light-colored cup of tea. You can re-steep the tea bags 2 or 3 times, and if you do that the price per cup becomes very affordable.<br /><br />I used to laugh at the Great Depression stories of my relatives hanging up tea bags to dry on a clothes line. Most of us don't have clothes lines any more, but these tea bags are worth saving and using again!",positive,2009-11-28
230065,B000WB1YSE,A2ZXTXJKKJ03IP,jsprag,3,3,5,Convenient and great flavor,"Conveniently packaged in single bag packets.  Loving the nylon bag and the little slit on the end of the string to hook on the edge of cup.<br /><br />Taste is great--very smooth and not bitter.  Like all green teas, it can easily be ruined by steeping too long or using water that is too hot.  Best results are obtained by steeping for just 30-60 seconds and by using water at 175 degrees F (80 C).  The proper temperature can be easily achieved by using one part room temperature water to three parts boiling water.<br /><br />Overall a great value.",positive,2010-02-11
143017,B001AG6BMO,A2JP50VVALLDWK,MariaV,2,2,5,"GREAT taste, but worked BEST for daughter's eczema","Originally purchased for my smoothies, I then read information on benefits of coconut oil - so tried it on my 14 mth old daughter's eczema. NOTHING else worked before this. So happy this worked!",positive,2012-01-12
241506,B000KEJMRI,A3LD8TF0S7543X,Zsuzsika,3,4,5,Yummy!,"Don't bother buying the ""instant"" tapioca! This one requires time and vigilant work for it to come out right, but it's well worth it! Friends ask for it, my husband loves it. It is, of course, delicious and creamy, as expected; but it also rises above other tapiocas in presentation and consistency. Sometimes it is difficult to find in the grocery stores, so I was very pleased to find on Amazon. Do follow the instructions on the package for separating the eggs, beating the whites and folding in - it makes all the difference! Enjoy!",positive,2011-05-05
543557,B006MONQMC,AY8RR5LJIYM8C,Rick Lobrecht,0,0,3,Surprised it needed refrigeration,"This review is based on a sample bottle provided through the Amazon Vine program.<br /><br />I drink a lot of flavored water.  From Mio, to Nuun, to Crystal Light, and the store brands, I've tried most of them.  This one sounded pretty interesting.  Upon receiving the bottle, I stuck it in my bag to take to work.  When I went to use it for the first time, I looked at the back to see how much to use.  I was quite surprised to find it needed to be refrigerated after opening.  Back home it went, where it could be refrigerated.<br /><br />I find the flavor to be good.  You can actually taste the pineapple, and maybe some banana (although there's not banana in the picture.)  Like most of these things, getting the mix can be tricky.  After a few attempts, I've figured it out.  I think I'm using more than the squirt per 8oz, but that's ok.<br /><br />I don't usually feel caffeine (unless I drink a lot) so I can't really tell if this would affect a normal person.  The price seems high, but I don't really know how much you get from 12 oz of mix, compared to a box of pre-measured powders.  If a squirt is half an ounce, this is about twice as expensive as Crystal Light.  Of course the fact that it needs refrigeration may imply that it's a little more real than its competition.<br /><br />It's good enough that I might try the other flavors.",positive,2012-05-10
489658,B0029XDZDK,AIODQVA7W10YL,D. M. Kemp,0,0,5,Strong rich flavors in dark roast,"First off this coffee has got a great logo on the cap.  How can anybody resist a cup of Black Tiger???  Seriously though, this makes a great cup.  Very dark and rich without being too bitter.  Makes for an excellent large mug of morning coffee.  We've got this one on our re-order list and pick it up every month or so.<br /><br />Well worth it for those who enjoy a strong cup.",positive,2012-05-07
61107,B000FA38ZY,AAZ1L4A33TEDH,Michael P. Lefand,3,3,3,Sweet Treat,"Mallomars, a cookie I remember from my childhood and have not had one in many years; I enjoyed them as well as a lot of other cookies and was looking forward to opening this package when it arrived.<br />First impression on opening the box was the appearance.  It did not look too appetizing at first glance.  The dark chocolate coating was spotted over 50 percent with a tan color, not the deep dark chocolate color shown on the outer cover of the box.  About every third cookie had separated the cracker part from the creamy half.  And about a quarter of them sported cracked tops with the white showing through. Like everything else nowadays, the cookie is smaller than the original I remember.<br />So far, not too appetizing, but hey, I eat broken cookies all the time, however the spotted coating reminded me of candy that was improperly stored.<br />So I popped one in my mouth.<br />My first impression as I chewed a Mallomars cookie. A very sweet treat just like I remembered from years ago.  Despite the discoloration the chocolate flavor was acceptable but not that rich dark chocolate taste my mouth was watering for from the picture on the box.  The cracker portion was dry but soon combined with the marshmallow filling while chewing.  After three I found them too sweet to have more at one sitting.<br />Overall, the taste was a four star.  However, appearance of food is a big part of eating and tasting.  The box of Mallomars I received did not make the cookie appear appetizing.  If I had purchased it in a store I would have returned it.<br />Overall I can only give it 3 stars.",positive,2011-11-18
138573,B001D3NXYS,AZQLLLCUFPJP,Tommy Lee,3,3,5,*** THANK YOU AMAZON! ***,"This is my FAVORITE gum. I've chewed it now for at least 30-years. Yeah, ...I'm getting up there, so what! ...hahaha I chew this gum every single day of my life, and will continue to chew it for as long as they make it. It is by far the BEST cinnamon gum on the market. I am SO HAPPY Amazon is carrying it now, because nearly all of the grocery stores have switched to sugar free gums, which don't interest me in the least. Thank you Amazon for making it easy for me to get the best gum ever made!!!",positive,2011-09-02
58066,B001VIY7O0,A1DPX77LWC05R4,M. DiFronzo,1,1,5,Great Dog food for Picky Dogs,My little dachshund loves this stuff and he is very picky.  Just the right size for him to easily chew.  Nice to find it at Amazon since this variety isn't always available in the store.,positive,2011-04-01
250839,B0037NVULU,A1UWE64CPO197G,Doug Martin,0,0,5,Great Medium Roast & Chocolate,"This is not an overly sweet coffee out of the brewer, so you can adjust sweetness to your taste. The chocolate is not over-bearing like some specialty grinds at the grocery store and it's not as strong as a cafe mocha. It's a perfect morning cup of coffee to start the day with a bowl of oatmeal or a donut.<br /><br />The only negative I have is the smell of the chocolate when it first comes out of the brewer. It goes away in a minute or so, but it smells artificial and reminds me of every bad product with ""chocolaty"" in the name.",negative,2011-12-20
506835,B000CQIDHO,AO98PVCA8LDFX,Old Baguette,0,0,5,Wonderful Herbal Tea,"I'm not a traditional tea drinker; in fact don't care for tea at all. However, because I love anise flavor, I thought I'd try this tea. It has a great, naturally-sweet flavor. I now look forward to my daily cup of licorice-spice tea!",positive,2010-03-23
49262,B004OA5ZDO,A2D89S3TN96UEC,Bridgett S,4,4,3,"Not bad, not the best","I gave my dog one of these ""calming"" bones during a thunderstorm.  She wasn't too interested in chewing it (she was too nervous) so it didn't achieve the desired effect.  The next morning, she ate it, but not as quickly as she would have eaten it if it were one of her favorite edible chews.  I think the lavender and/or chamomille flavors don't appeal to her, since she's used to getting bacon or beef flavored edible chews.  These bones are comparable to Nylabone Healthy Edibles, which my dog loves.",positive,2011-12-22
209365,B0014ATS08,A3C5K3ULSGA50S,Valerie,0,0,5,I Drink it Daily,I love this product and pretty much drink it daily. It really helps my intestinal tract feel balanced. And I crave it when I'm sick. I buy mine at Whole Foods but I'm glad to see it here since it's often sold out. I also like to mix it with Crystal Light Pure Tropical Blend in my large water bottle and sip it all day at work. Delicious!,positive,2012-05-11
225160,B001LNTY70,A2UCUVMLB69G15,"A. Hemphill ""music fan""",1,1,5,Yummy!,"I don't need to say much more, these are good. Not really hot like you might assume given that it's jalapeno flavor. They just have a slight kick.",neutral,2010-09-08
8891,B001EQ5EQE,A358A1GEYJG7CD,J. Greer,0,0,5,Better than pricey coffee shop coffee!,I just used this to make myself an espresso and it was one of the best tastes of coffee that I've ever had.  I was absolutely surprised but it was sooo good.  I can't wait until the morning so I can have another cup (or two).  Yum!,positive,2010-10-28
180451,B00027VBBS,A32M19CC78YGXD,Saree-a,3,3,5,decaf without sacrificing flavor,"I make this for my husband every morning. I keep telling him I will teach him how to use our espresso machine, but of course it tastes better if I make it.  It is delicious or he won't care whether I make it while he reads the newspaper.  this is ese compatible",positive,2009-09-29
533938,B001EO77FW,A3KPO9QDQFURVW,Janis Becker,0,0,5,My Fussy dogs eat this!,I have 4 adult Shih-Tzus and while they do prefer it when I cook for them...... they do eat this and it has helped eliminate the brownish tear stains they get when I feed them some dry foods.,neutral,2011-03-26
422830,B003ZSMB7O,A2CDAFK39FU0VO,John C,0,1,5,Irish Soda Bread Mix - Review,"Excellent product. Had a big family dinner with very picky eaters attending last week. I bought the Garvey's Organic Irish Soda Bread Mix per a suggestion from a friend that loves it. He was right! Turned out perfect with crisp outside and soft inside. Everyone in the family loved it, even the picky eaters. I highly recommend.",positive,2010-11-05
299516,B00142BX68,ARXU7TM4XXI1D,"Emma M. Diaz ""Emma R.""",3,3,5,No more breast milk!,"Let me start off by saying that I am not a tea drinker at all! I am more of a coffee person. Anyway, I decided that I was gonna dry up my milk supply and read somewhere that sage tea decreases milk supply. I went ahead and ordered this tea for that purpose. It says on the box that the tea is very bitter so I went ahead and added 1 teaspoon of honey. It worked perfectly. I do see that it has diminish my need to pump dramatically. I went from pumping 4-5 times a day to twice a day the 1st two days since I started drinking the tea. Yesterday I only did it once and today none so far. I am not in pain, though my breasts are still tender to the touch. I would 100% recommend this to any mother trying to stop her milk supply.",positive,2012-03-21
153831,B005VOOM2W,A1E5WXNTI7EO2A,S. Brooks,0,1,5,Love the pods,"I'm the only coffee drinker in my household, so I really like the convenience of these single serve pods. They've got a great flavor (I really liked a little bit of vanilla creamer in mine). They make clean-up a breeze - just toss the used pod into the trash or compost bin when you're done. Since they are individually packaged, they stay nice and fresh (and I don't have to worry about my two-year-old pouring a new bag of coffee out on the floor. I enjoyed the flavor and the convenience. Five stars. :-)",positive,2012-04-11
306332,B000VK6TKO,A1TWZ4MJQM6W2V,The Amateur Librarian,0,1,3,Didn't hold their attention for long,"I chose this for the quality ingredients.  At first my cats liked it but about halfway into the case they stopped eating it.  I left it out, thinking they'd get hungry enough and eat it eventually, but they never did.<br /><br />After a while, I pulled out a can, hoping they'd want it again, but nope, they're done.",positive,2012-03-25
10480,B0016J7SYU,A1G0RKZCDVRPNV,H. Salsano,0,0,5,I love this cereal,"This is the best tasting cereal I have ever had in my entire life!  We eat it nearly every day for breakfast, usually adding a half a banana and some chopped up walnuts.  Some of my family even put blueberries on it!  I would never do that!  I occasionally buy it at Sam's or Costco (usually while traveling) but it ends up cheaper here at Amazon, especially with the wonderful Subscribe and Save option.  My shipments magically arrive!  One thing to note - you must keep your granola refrigerated to make it last - especially if you buy this 6 pack!  The oils will go rancid if you store it in a warm location.  This goes for nuts and seeds too!",positive,2011-12-09
131522,B000CQY378,AL4IKDSF39X7S,maude's mom,0,0,3,good price,"Purchased these on sale around superbowl time when we go through lots of dips.  Normally buy locally, but the town was sold out and we try to be as organic as possible.  Family has mixed reviews about taste & texture.",neutral,2011-03-15
467497,B001HTISRU,AZXDGJNYNBT0N,southernbug,0,0,5,"quick, tasty and healthy","That sums it up!  Quick, tasty and seems to be very healthy.  I highly recommend this product.  It takes 1 minute in my microwave and I eat it as is or add it to soups.",positive,2011-11-28
11102,B002TSHYSW,A2TFHMXBU9HG3P,P. Myers,1,2,1,too much of a good thing,"These chips are very spicy to say the least, my tongue burned too much to finish the small individual serving bag. They have an overpowering amount of some Asian spice, perhaps ginger, but it is way too strong and you are left with a very unpleasant taste. I bought 24 of the small size bags but could not bring myself to like the flavor, it all ended up in the trash.  This is definitely a chip that will appeal to only certain palates. I do like the sweet onion flavor of this brand but this Asian flavor was too much of a good thing!",positive,2012-01-08
262188,B002AU3K1E,ADZ1E2SYWSG99,Chad Myers,11,13,5,"These are good.  Very, very good.","I don't mean ""good for a gluten free cookie"", or ""almost like a normal cookie"".  No, I mean, that as a cookie they are good.  No strange textures, odd flavors, or smells.  No sticking them in the refrigerator to help out the texture.  They basically taste like a normal crunchy sugar cookie with cinnamon that just happens to be gluten free.  No milk or butter either so I believe they should be casein free also.  According to the labeling they are vegan and kosher as well.<br /><br />That's a mighty impressive list of good stuff.  You're probably wondering what the catch is, right?  It definitely isn't the taste.  As I said at the beginning, these are very, very good.  I only see two drawbacks.<br />1) Cost.  Most gluten free foods are expensive so this one isn't unexpected.<br />2) Quantity.  The 5.25 ounce package contains 16 cookies.<br /><br />16 cookies really doesn't seem like that many, particularly when enjoying them.  However that could be considered a positive attribute for some of us.  I know I have a tendency at times to munch on something yummy without paying attention to how much I am eating only to find I've eaten the entire bag.  Since the package is a built-in pause / stop point, the smaller size less overeating.  Even so, I still wish there were more in a package.<br /><br />One last note, just because I found it to be unusual.  Normally all the cookies would be packed the same way, i.e. two rows of eight.  These aren't.  Instead, there are two rows of seven cookies each, side by side, and then two more cookies at the end of the package rotated 90 degrees from the others.  There isn't anything wrong with this packaging method since it maximizes usage of the packaging space.  It's just not how most packaged cookies are packaged, nor is it symmetrical, so it sticks out as unusual to me.",positive,2009-06-17
499131,B004QQ7ZWU,AG7YQ6C2RWN2L,Joe,0,0,5,Great tasting,Used this to make a batch of homemade root beer with the kids.  I force carbonated in the keg since bottle carbonating sounded too dicey.  They loved it and we will do that again!,positive,2012-04-19
467353,B001EO5JUC,AH2P6ZHTX9BU8,R. Krause,0,0,5,Love Alpen Muesli,I was glad to find Alpen Muesli at Amazon in Subscribe and Save.  We first had this when touring Ireland a number of years ago and did not realize it was available here.  Excellent mix of grains with just enough sweetness and crunch.<br /><br />For a healthy snack I like to sprinkle it on my salad.  For a not-so-healthy snack I add it to ice cream.,positive,2010-04-28
385239,B005VOOM5E,A1SI2993YY7C61,tomahagne,0,2,5,Tastes great when brewed like tea!!,"Drip machine: Produces brown water. Not coffee.<br /><br />Stove-top espresso machine: Weak, but was smooth and palatable. It tasted more like black tea than coffee.<br /><br />Immersion brew: Smooth, thick, strong, and huge buzz! (Pour 1 quart of hot water over 3 pods. Let it steep for 15 minutes. For more caffeine, leave the pods in the water for 5-12 hours.)<br /><br />=========================<br />BOTTOM LINE: The pods need to stay in the water longer than conventional methods, much the same way tea-bags need time to steep.",positive,2012-05-07
428358,B0029JS3XG,AL1P2XXNHY3UG,Clementine,0,0,5,great product,"Great product... can't find in stores anymore, so had to order a case of 12. No matter, we'll use them all before 2014! Make the recipe with orange juice instead of water and add 1/4 cup more dried cranberries, and your family and friends will think your ""special"" cranberry bread was made from scratch!",positive,2011-12-27
221518,B002AYC7TG,A2TENNQ1HZYWDU,C. Perry,2,2,4,GOOD STUFF,"We are pretty happy with these product. the dog doesn;t have nearly as much gas as she did on other KIbble diet. The only thing that was better was a completely RAW diet, but with that you never know if the product you have purcahsed is the freshes it can be, and the pet suffers for that. where as the ZIWIPeak stay fresh for at lest 30 days after you open it and longer if you serve from the freezer.",positive,2010-03-31
190044,B0000DGG1U,AMAF5DFESU87L,Jimmy,0,0,1,"Bad, tree died in a week",I followed all the instructions labeled on the tree and it still died within a week. Don't buy! Don't let the cheap price fool you.,negative,2012-07-17
349766,B000NVZHF4,A33UTICXZQAEWR,Três Feijões,1,1,5,The Best,This is by far the best root beer that I've ever tasted. Bold sassafras and licorice flavors.,positive,2007-08-13
